BusinessEntityID,EmployeeFirstName,EmployeeLastName,EmployeeName,JobTitle,DepartmentName,BirthDate,MaritalStatus,Gender,HireDate
1,Ken,Sánchez,Ken Sánchez,Chief Executive Officer,Executive,1973-12-29,Single,Male,2013-12-14
2,Terri,Duffy,Terri Duffy,Vice President of Engineering,Engineering,1976-07-01,Single,Female,2012-12-31
3,Roberto,Tamburello,Roberto Tamburello,Engineering Manager,Engineering,1979-10-12,Married,Male,2012-10-11
4,Rob,Walters,Rob Walters,Senior Tool Designer,Tool Design,1979-11-23,Single,Male,2012-11-05
5,Gail,Erickson,Gail Erickson,Design Engineer,Engineering,1957-08-27,Married,Female,2012-12-06
6,Jossef,Goldberg,Jossef Goldberg,Design Engineer,Engineering,1964-02-11,Married,Male,2012-12-24
7,Dylan,Miller,Dylan Miller,Research and Development Manager,Research and Development,1992-01-24,Married,Male,2014-01-08
8,Diane,Margheim,Diane Margheim,Research and Development Engineer,Research and Development,1991-05-05,Single,Female,2013-11-29
9,Gigi,Matthew,Gigi Matthew,Research and Development Engineer,Research and Development,1983-12-21,Married,Female,2013-12-16
10,Michael,Raheem,Michael Raheem,Research and Development Manager,Research and Development,1989-10-30,Married,Male,2014-04-03
11,Ovidiu,Cracium,Ovidiu Cracium,Senior Tool Designer,Tool Design,1982-12-17,Single,Male,2015-11-05
12,Thierry,D'Hers,Thierry D'Hers,Tool Designer,Tool Design,1964-06-29,Married,Male,2012-11-11
13,Janice,Galvin,Janice Galvin,Tool Designer,Tool Design,1994-04-28,Married,Female,2015-11-23
14,Michael,Sullivan,Michael Sullivan,Senior Design Engineer,Engineering,1984-05-16,Single,Male,2015-11-30
15,Sharon,Salavaria,Sharon Salavaria,Design Engineer,Engineering,1966-04-02,Married,Female,2015-12-18
16,David,Bradley,David Bradley,Marketing Manager,Marketing,1980-02-19,Single,Male,2012-11-20
17,Kevin,Brown,Kevin Brown,Marketing Assistant,Marketing,1992-04-03,Single,Male,2011-12-26
18,John,Wood,John Wood,Marketing Specialist,Marketing,1983-02-06,Single,Male,2016-01-07
19,Mary,Dempsey,Mary Dempsey,Marketing Assistant,Marketing,1982-12-29,Single,Female,2016-01-14
20,Wanida,Benshoof,Wanida Benshoof,Marketing Assistant,Marketing,1980-02-17,Married,Female,2015-12-07
21,Terry,Eminhizer,Terry Eminhizer,Marketing Specialist,Marketing,1991-01-04,Married,Male,2014-02-02
22,Sariya,Harnpadoungsataya,Sariya Harnpadoungsataya,Marketing Specialist,Marketing,1992-04-21,Single,Male,2013-11-12
23,Mary,Gibson,Mary Gibson,Marketing Specialist,Marketing,1967-08-13,Married,Female,2013-12-12
24,Jill,Williams,Jill Williams,Marketing Specialist,Marketing,1984-05-18,Married,Female,2013-12-18
25,James,Hamilton,James Hamilton,Vice President of Production,Production,1987-12-07,Single,Male,2014-01-03
26,Peter,Krebs,Peter Krebs,Production Control Manager,Production Control,1987-10-03,Married,Male,2013-11-01
27,Jo,Brown,Jo Brown,Production Supervisor - WC60,Production,1961-09-08,Single,Female,2013-01-27
28,Guy,Gilbert,Guy Gilbert,Production Technician - WC60,Production,1993-02-13,Married,Male,2011-05-30
29,Mark,McArthur,Mark McArthur,Production Technician - WC60,Production,1984-08-25,Single,Male,2013-12-23
30,Britta,Simon,Britta Simon,Production Technician - WC60,Production,1994-08-28,Married,Female,2013-12-29
31,Margie,Shoop,Margie Shoop,Production Technician - WC60,Production,1991-04-20,Married,Female,2013-12-04
32,Rebecca,Laszlo,Rebecca Laszlo,Production Technician - WC60,Production,1982-06-10,Married,Female,2013-11-29
33,Annik,Stahl,Annik Stahl,Production Technician - WC60,Production,1981-11-26,Married,Male,2013-11-17
34,Suchitra,Mohan,Suchitra Mohan,Production Technician - WC60,Production,1992-05-10,Married,Female,2014-01-16
35,Brandon,Heidepriem,Brandon Heidepriem,Production Technician - WC60,Production,1981-12-10,Married,Male,2014-01-08
36,Jose,Lugo,Jose Lugo,Production Technician - WC60,Production,1989-06-30,Married,Male,2014-01-10
37,Chris,Okelberry,Chris Okelberry,Production Technician - WC60,Production,1991-07-07,Single,Male,2014-02-07
38,Kim,Abercrombie,Kim Abercrombie,Production Technician - WC60,Production,1971-11-14,Married,Female,2014-12-16
39,Ed,Dudenhoefer,Ed Dudenhoefer,Production Technician - WC60,Production,1976-08-11,Single,Male,2015-01-05
